player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Joel Embiid,embiijo01,2021,RS,PHI,1822,855,4.355478173526765,5.352165885335441,9.707644058862206,7.262869097597166,2.935673633163836,10.198542730761,5.157084264917577,5.133604547189682,10.29068881210726,5.744387227181117,5.744387227181117,0,4.895028901006278,5.014894186217931,9.909923087224207,.9927673515955414
James Ennis III,ennisja01,2021,RS,ORL,1039,498,-1.459504415021988,-.4327042437051851,-1.892208658727173,4.316633675657011,2.564152227993213,6.880785903650223,-.2910540683929568,.180263032753294,-.1107910356396628,.6709586022596578,.6709586022596578,0,-1.735133572977279,.6452878184222225,-1.089845754555057,.0588159765359625
Drew Eubanks,eubandr01,2021,RS,SAS,303,139,-4.258593383734487,3.819534679638932,-.4390587040955554,-4.7570425973231,-9.716800740296692,-14.47384333761979,-4.608980521801008,1.260615620205893,-3.348364901595116,-.042347869161443,-.042347869161443,0,-2.598829857709192,-.8093340394237549,-3.408163897132948,-.2072804304861998
Dante Exum,exumda01,2021,RS,CLE,248,116,-4.228372660841495,4.688676046845156,.4603033860036616,-4.600289339510415,8.525920207940509,3.925630868430093,-4.54912242421164,5.809563097373585,1.260440673161946,.2381293196778277,.2381293196778277,0,-3.889073567167974,4.748438988316241,.8593654211482673,.3322166934709909
Tacko Fall,fallta01,2021,RS,BOS,111,49,1.689055630731353,8.212175919566395,9.901231550297748,10.21803225128458,4.890413308789186,15.10844556007377,3.517951673175316,7.925473363969515,11.44342503714483,.3544348120297438,.3544348120297438,0,1.47679395510322,4.898004858097881,6.374798813201101,-.1135862707445582
Derrick Favors,favorde01,2021,RS,UTA,1009,477,.1274352547031441,1.419984495470032,1.547419750173176,1.439560475811377,-.5205903877896859,.918970088021691,.3297304420692243,1.058991268553197,1.388721710622421,1.010866273054055,1.010866273054055,0,.133144151238534,3.632771606040547,3.765915757279081,.3664539263545327
Cristiano Felicio,feliccr01,2021,RS,CHI,80,38,1.599944424733207,14.64041256205748,16.24035698679069,-18.29038216203968,15.0780831454292,-3.212299016610483,-2.419735117374058,15.64639106957886,13.2266559522048,.3105869931201556,.3105869931201556,0,-2.160880287447999,12.09975902234873,9.938878734900729,.2739784067882109
Terrance Ferguson,fergute01,2021,RS,PHI,51,24,-8.710435766380687,-9.570251161530365,-18.28068692791105,-3.963869799085405,6.637044416976133,2.673174617890728,-8.205627305809227,-6.765435520084195,-14.97106282589342,-.1505461930959026,-.1505461930959026,0,-6.543770554802194,-8.18585627294593,-14.72962682774812,.6102475381528999
Bruno Fernando,fernabr01,2021,RS,ATL,309,143,-7.330146093340642,-1.763608909915797,-9.093755003256438,-4.370320165013253,4.015322881777101,-.3549972832361528,-7.218398144435059,-.67909342053831,-7.897491564973369,-.375064872446298,-.375064872446298,0,-6.818823411321588,-2.98133961727328,-9.800163028594868,-.1318397819780542
Yogi Ferrell,ferreyo01,2021,RS,CLE,84,40,-3.504509462179845,2.665620856701397,-.8388886054784486,-2.619819961113438,1.500447032875416,-1.119372928238022,-3.364776623726486,2.645605231352455,-.7191713923740304,.0412028021381121,.0412028021381121,0,.5946880836733823,2.395180444941266,2.989868528614648,-.592187772036859
Dorian Finney-Smith,finnedo01,2021,RS,DAL,1359,653,-1.756551867487209,1.373058202599882,-.3834936648873271,2.272418207068134,-2.445271333121586,-.1728531260534516,-1.070707160897703,.6809431776807151,-.3897639832169875,.7851364146804078,.7851364146804078,0,-.5378552065558826,1.358394114484597,.8205389079287149,-.1547076099475722
Malachi Flynn,flynnma01,2021,RS,TOR,274,125,-3.471062772503447,-3.215706803061037,-6.686769575564484,-9.775328144218417,-1.65384413792617,-11.42917228214459,-5.030532184360638,-3.117651604516966,-8.148183788877603,-.3446448508829669,-.3446448508829669,0,-4.27256760318433,-3.42452791974986,-7.69709552293419,.110512959188105
Bryn Forbes,forbebr01,2021,RS,MIL,1314,613,1.001977493655382,-5.067237457795986,-4.065259964140603,2.7548888397199,-5.173026372748866,-2.418137533028966,1.345126898229425,-5.439669190218534,-4.094542291989109,-.418209471179039,-.418209471179039,0,1.85938864214871,-5.843295787713188,-3.983907145564478,-.5538287006596375
Trent Forrest,forretr01,2021,RS,UTA,33,14,-9.773890361897038,-2.524349656103145,-12.29824001800018,-20.09292549342938,-1.929576427203957,-22.02250192063334,-12.57045940297966,-2.591473648235869,-15.16193305121553,-.0886393820592722,-.0886393820592722,0,-10.055881824518,.1036858543608426,-9.95219597015716,-.0189319634363597
